h3_start,hour,trip_count
892a100126bffff,1,1
892a100126bffff,7,1
892a100126bffff,8,1
892a100126bffff,9,1
892a100126bffff,10,3
892a100126bffff,14,1
892a100126bffff,15,10
892a100126bffff,16,3
892a100126bffff,17,1
892a100126bffff,18,6
892a100126bffff,19,1
892a100126bffff,21,4
892a100126bffff,22,1
892a100126fffff,0,13
892a100126fffff,1,9
892a100126fffff,2,7
892a100126fffff,3,3
892a100126fffff,4,4
892a100126fffff,5,5
892a100126fffff,6,5
892a100126fffff,7,31
892a100126fffff,8,34
892a100126fffff,9,25
892a100126fffff,10,25
892a100126fffff,11,40
892a100126fffff,12,52
892a100126fffff,13,73
892a100126fffff,14,99
892a100126fffff,15,90
892a100126fffff,16,120
892a100126fffff,17,108
892a100126fffff,18,120
892a100126fffff,19,99
892a100126fffff,20,92
892a100126fffff,21,59
892a100126fffff,22,23
892a100126fffff,23,21
892a1001273ffff,0,7
892a1001273ffff,1,5
892a1001273ffff,2,1
892a1001273ffff,3,2
892a1001273ffff,4,1
892a1001273ffff,5,2
892a1001273ffff,6,2
892a1001273ffff,7,13
892a1001273ffff,8,30
892a1001273ffff,9,13
892a1001273ffff,10,9
892a1001273ffff,11,21
892a1001273ffff,12,22
892a1001273ffff,13,13
892a1001273ffff,14,22
892a1001273ffff,15,16
892a1001273ffff,16,23
892a1001273ffff,17,17
892a1001273ffff,18,21
892a1001273ffff,19,19
892a1001273ffff,20,19
892a1001273ffff,21,10
892a1001273ffff,22,9
892a1001273ffff,23,12
892a1001277ffff,0,54
892a1001277ffff,1,38
892a1001277ffff,2,23
892a1001277ffff,3,7
892a1001277ffff,4,7
892a1001277ffff,5,8
892a1001277ffff,6,17
892a1001277ffff,7,112
892a1001277ffff,8,141
892a1001277ffff,9,70
892a1001277ffff,10,56
892a1001277ffff,11,89
892a1001277ffff,12,89
892a1001277ffff,13,80
892a1001277ffff,14,116
892a1001277ffff,15,166
892a1001277ffff,16,152
892a1001277ffff,17,150
892a1001277ffff,18,140
892a1001277ffff,19,107
892a1001277ffff,20,105
892a1001277ffff,21,93
892a1001277ffff,22,111
892a1001277ffff,23,65
892a100127bffff,0,13
892a100127bffff,1,4
892a100127bffff,2,7
892a100127bffff,3,7
892a100127bffff,4,4
892a100127bffff,5,9
892a100127bffff,6,18
892a100127bffff,7,58
892a100127bffff,8,36
892a100127bffff,9,50
892a100127bffff,10,64
892a100127bffff,11,41
892a100127bffff,12,68
892a100127bffff,13,78
892a100127bffff,14,103
892a100127bffff,15,126
892a100127bffff,16,87
892a100127bffff,17,105
892a100127bffff,18,95
892a100127bffff,19,103
892a100127bffff,20,62
892a100127bffff,21,46
892a100127bffff,22,24
892a100127bffff,23,14
892a100128bffff,0,38
892a100128bffff,1,14
892a100128bffff,2,9
892a100128bffff,3,8
892a100128bffff,4,4
892a100128bffff,5,16
892a100128bffff,6,44
892a100128bffff,7,93
892a100128bffff,8,116
892a100128bffff,9,59
892a100128bffff,10,67
892a100128bffff,11,80
892a100128bffff,12,90
892a100128bffff,13,101
892a100128bffff,14,148
892a100128bffff,15,179
892a100128bffff,16,149
892a100128bffff,17,156
892a100128bffff,18,169
892a100128bffff,19,103
892a100128bffff,20,89
892a100128bffff,21,78
892a100128bffff,22,63
892a100128bffff,23,48
892a10012abffff,0,9
892a10012abffff,1,3
892a10012abffff,2,3
892a10012abffff,3,4
892a10012abffff,4,26
892a10012abffff,5,23
892a10012abffff,6,18
892a10012abffff,7,55
892a10012abffff,8,25
892a10012abffff,9,29
892a10012abffff,10,24
892a10012abffff,11,27
892a10012abffff,12,39
892a10012abffff,13,39
892a10012abffff,14,52
892a10012abffff,15,62
892a10012abffff,16,68
892a10012abffff,17,62
892a10012abffff,18,66
892a10012abffff,19,41
892a10012abffff,20,45
892a10012abffff,21,52
892a10012abffff,22,30
892a10012abffff,23,11
892a10012c3ffff,0,1
892a10012c3ffff,1,1
892a10012c3ffff,4,1
892a10012c3ffff,5,1
892a10012c3ffff,7,5
892a10012c3ffff,8,5
892a10012c3ffff,9,3
892a10012c3ffff,10,4
892a10012c3ffff,11,5
892a10012c3ffff,12,6
892a10012c3ffff,13,9
892a10012c3ffff,14,9
892a10012c3ffff,15,2
892a10012c3ffff,16,2
892a10012c3ffff,17,5
892a10012c3ffff,18,3
892a10012c3ffff,19,5
892a10012c3ffff,20,2
892a10012c3ffff,21,1
892a10012c3ffff,22,1
892a10012c3ffff,23,4
892a10012c7ffff,0,4
892a10012c7ffff,1,2
892a10012c7ffff,2,1
892a10012c7ffff,6,8
892a10012c7ffff,7,20
892a10012c7ffff,8,26
892a10012c7ffff,9,13
892a10012c7ffff,10,31
892a10012c7ffff,11,51
892a10012c7ffff,12,52
